  
       XFOIL         Version 6.96
  
 Calculated polar for: AIRFOIL_GEO                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.050 (top)        0.100 (bottom)  
 Mach =   0.006     Re =     0.100 e 6     Ncrit =  11.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000 -11.7939   0.46375   0.10032 297.7956   0.0500   0.0404
  -1.750 -10.2565   0.46267   0.09901 277.2344   0.0500   0.0424
  -1.500  -8.7289   0.46021   0.09719 256.9174   0.0500   0.0475
  -1.250  -7.1924   0.45922   0.09606 236.3481   0.0500   0.0499
  -1.000  -5.6638   0.45708   0.09477 215.9660   0.0500   0.0567
  -0.750  -4.1530   0.45282   0.09328 195.9827   0.0500   0.0754
  -0.500  -2.6469   0.44835   0.09191 176.0896   0.0500   0.1000
  -0.250  -1.0997   0.44920   0.09201 155.2026   0.0500   0.1000
   0.000   0.4490   0.45017   0.09231 134.2614   0.0500   0.1000
   0.250   1.9963   0.45126   0.09284 113.3367   0.0500   0.1000
   0.500   3.5444   0.45247   0.09356  92.3752   0.0500   0.1000
   0.750   5.0916   0.45380   0.09448  71.4205   0.0500   0.1000
   1.000   6.6379   0.45526   0.09559  50.4687   0.0500   0.1000
   1.250   8.1852   0.45684   0.09690  29.4875   0.0500   0.1000
   1.500   9.7315   0.45855   0.09841   8.5169   0.0500   0.1000
   1.750  11.2766   0.46040   0.10014 -12.4406   0.0500   0.1000
   2.000  12.8222   0.46238   0.10205 -33.4180   0.0500   0.1000
   2.250  14.3661   0.46448   0.10417 -54.3666   0.0500   0.1000
   2.500  15.9102   0.46672   0.10646 -75.3254   0.0500   0.1000
   2.750  17.4533   0.46909   0.10897 -96.2689   0.0500   0.1000
   3.000  18.9950   0.47158   0.11164-117.1918   0.0500   0.1000
   3.250  20.5360   0.47422   0.11452-138.0960   0.0500   0.1000
   3.500  22.0750   0.47698   0.11761-158.9617   0.0500   0.1000
   3.750  23.6131   0.47989   0.12085-179.8111   0.0500   0.1000
   4.000  25.1498   0.48295   0.12435-200.6297   0.0500   0.1000
   4.250  26.6849   0.48614   0.12800-221.4140   0.0500   0.1000
   4.500  28.2183   0.48948   0.13192-242.1610   0.0500   0.1000
   4.750  29.7499   0.49298   0.13599-262.8656   0.0500   0.1000
   5.000  31.2798   0.49662   0.14026-283.5312   0.0500   0.1000
   5.250  32.8075   0.50043   0.14483-304.1389   0.0500   0.1000
   5.500  34.3334   0.50439   0.14955-324.7089   0.0500   0.1000
   5.750  35.8564   0.50852   0.15451-345.2074   0.0500   0.1000
   6.000  37.3771   0.51283   0.15979-365.6475   0.0500   0.1000
   6.250  38.8950   0.51730   0.16525-386.0169   0.0500   0.1000
   6.500  40.4107   0.52197   0.17106-406.3308   0.0500   0.1000
   6.750  41.9109   0.52929   0.17881-426.3528   0.0468   0.1000
   7.000  43.3966   0.53903   0.18831-446.1003   0.0427   0.1000
   7.250  44.8910   0.54597   0.19613-465.9644   0.0405   0.1000
   7.500  46.3593   0.55719   0.20658-485.3450   0.0348   0.1000
   7.750  47.7393   0.58264   0.22629-503.1499   0.0161   0.1000
   8.000  49.1394   0.60341   0.24545-521.1786   0.0079   0.1000
   8.250  50.5746   0.61653   0.25897-539.7916   0.0064   0.1000
   8.500  52.0132   0.62845   0.27165-558.4781   0.0058   0.1000
   8.750  53.4308   0.64273   0.28709-576.6992   0.0051   0.1000
   9.000  54.8527   0.65482   0.30039-594.9885   0.0050   0.1000
   9.250  56.2661   0.66705   0.31376-613.0884   0.0048   0.1000
   9.500  57.6657   0.68019   0.32816-630.9006   0.0047   0.1000
   9.750  59.0492   0.69439   0.34354-648.3656   0.0045   0.1000
  10.000  60.4140   0.70982   0.36015-665.4442   0.0043   0.1000
  10.250  61.7447   0.72835   0.38049-681.8105   0.0040   0.1000
  10.500  63.0076   0.75347   0.40888-696.8166   0.0037   0.1000
  10.750  64.3278   0.77007   0.42687-712.9514   0.0037   0.1000
  11.000  65.6287   0.78736   0.44567-728.6897   0.0037   0.1000
  11.250  66.9055   0.80582   0.46569-743.9314   0.0036   0.1000
  11.500  68.1498   0.82582   0.48741-758.5182   0.0036   0.1000
  11.750  69.3602   0.84741   0.51084-772.4238   0.0035   0.1000
  12.000  70.5367   0.87013   0.53553-785.6586   0.0035   0.1000
